armed,age,gender,signs_of_mental_illness,threat_level,flee,body_camera,y
knife,20.0,M,False,other,Not fleeing,True,1
knife,32.0,M,False,attack,Foot,False,1
gun,61.0,M,False,attack,Not fleeing,False,1
gun,34.0,M,False,other,Not fleeing,True,1
gun,49.0,M,False,attack,Not fleeing,True,1
unarmed,43.0,M,False,attack,Not fleeing,False,1
gun,31.0,M,False,attack,Not fleeing,False,1
gun,21.0,M,False,attack,Foot,False,1
unarmed,17.0,M,False,attack,Foot,False,1
gun,24.0,M,False,attack,Car,False,1
gun,22.0,M,True,attack,Not fleeing,False,1
gun,21.0,M,False,attack,Car,True,1
other,32.0,M,False,attack,Not fleeing,True,1
gun,26.0,M,False,other,Not fleeing,False,1
gun,37.0,M,False,attack,Not fleeing,False,1
gun,18.0,M,False,attack,Not fleeing,False,1
other,23.0,M,False,attack,Car,False,1
gun,41.0,M,False,attack,Not fleeing,False,1
other,48.0,M,False,attack,Not fleeing,True,1
gun,37.0,M,False,attack,Car,False,1
gun,18.0,M,True,other,Car,False,1
gun,41.0,M,False,attack,Not fleeing,False,1
gun,40.0,M,False,attack,Not fleeing,False,1
knife,49.0,M,False,attack,Not fleeing,False,1
gun,45.0,M,False,attack,Not fleeing,False,1
gun,32.0,M,False,attack,Not fleeing,False,1
gun,34.0,M,True,attack,Not fleeing,True,1
gun,26.0,M,False,attack,Not fleeing,False,1
gun,52.0,M,True,attack,Car,False,1
gun,18.0,M,False,attack,Other,False,1
knife,49.0,M,False,attack,Foot,False,1
gun,21.0,M,False,attack,Foot,True,1
knife,29.0,M,True,attack,Not fleeing,False,1
gun,24.0,M,False,other,Not fleeing,True,1
other,32.0,M,False,attack,Car,False,1
other,33.0,M,False,attack,Not fleeing,False,1
gun,23.0,M,False,other,Not fleeing,False,1
gun,40.0,M,False,attack,Not fleeing,False,1
other,23.0,M,True,attack,Not fleeing,True,1
gun,17.0,M,False,attack,Foot,False,1
gun,51.0,M,False,attack,Not fleeing,False,1
other,38.0,M,False,attack,Not fleeing,False,1
gun,38.0,M,False,attack,Not fleeing,False,1
unarmed,33.0,M,False,attack,Not fleeing,False,1
gun,34.0,M,False,other,Foot,False,1
other,28.0,M,False,other,Car,False,1
unarmed,24.0,M,False,attack,Foot,True,1
gun,45.0,M,False,attack,Not fleeing,False,1
gun,23.0,M,False,attack,Not fleeing,False,1
other,22.0,M,False,attack,Car,False,1
gun,28.0,M,False,attack,Foot,True,1
gun,17.0,M,False,other,Foot,False,1
other,22.0,M,False,attack,Car,True,1
knife,53.0,M,False,attack,Not fleeing,False,1
gun,21.0,M,False,other,Not fleeing,False,1
other,20.0,M,False,attack,Foot,False,1
gun,31.0,M,True,attack,Not fleeing,False,1
other,32.0,M,False,attack,Car,False,1
gun,31.0,M,False,other,Foot,False,1
gun,18.0,M,False,other,Car,False,1
other,32.0,F,False,other,Not fleeing,False,1
other,47.0,M,False,attack,Not fleeing,False,1
unarmed,47.0,M,False,undetermined,Foot,False,1
gun,19.0,M,False,other,Not fleeing,False,1
gun,23.0,M,False,attack,Car,False,1
gun,31.0,M,False,attack,Not fleeing,True,1
gun,21.0,M,False,other,Other,True,1
gun,21.0,M,False,other,Not fleeing,False,1
other,28.0,M,False,undetermined,Not fleeing,False,1
knife,27.0,M,True,other,Not fleeing,False,1
gun,47.0,M,True,attack,Not fleeing,False,1
gun,33.0,M,True,attack,Not fleeing,True,1
gun,35.0,M,False,attack,Foot,False,1
gun,19.0,M,False,attack,Car,False,1
other,19.0,M,False,undetermined,Car,False,1
gun,24.0,M,False,attack,Not fleeing,True,1
gun,19.0,M,False,other,Car,False,1
knife,33.0,M,False,other,Not fleeing,False,1
gun,22.0,M,False,other,Foot,False,1
gun,27.0,M,False,attack,Car,True,1
other,31.0,M,True,other,Foot,False,1
gun,28.0,M,False,attack,Foot,False,1
gun,51.0,M,True,attack,Not fleeing,False,1
gun,24.0,M,False,attack,Foot,False,1
gun,34.0,M,False,attack,Not fleeing,True,1
gun,46.0,M,False,attack,Not fleeing,False,1
gun,70.0,M,False,other,Not fleeing,False,1
gun,28.0,M,False,attack,Not fleeing,False,1
gun,24.0,M,False,attack,Car,True,1
